2649.70794 17.710  0.014
2650.63569 17.717  0.016
2650.69719 17.735  0.016
2650.80702 17.740  0.017
2651.63170 17.687  0.018
2651.72748 17.695  0.016
2652.59714 17.744  0.017
2652.67609 17.737  0.022
2652.74121 17.671  0.017
2652.77365 17.690  0.016
2653.60489 17.737  0.020
2653.78178 17.728  0.021
2654.62362 17.690  0.018
2654.67605 17.742  0.020
2654.70065 17.677  0.020
2654.84126 17.695  0.018
2655.60925 17.721  0.018
2655.81278 17.704  0.020
2656.62072 17.677  0.020
2656.64960 17.695  0.020
2656.76970 17.706  0.023
2656.86699 17.708  0.025
2657.62310 17.726  0.017
2657.86347 17.647  0.030
2658.58464 17.735  0.023
2658.61199 17.694  0.024
2658.68416 17.701  0.021
2658.76520 17.698  0.028
2659.64265 17.739  0.018
2659.77783 17.662  0.029
2660.59735 17.702  0.020
2660.62945 17.716  0.017
2660.74688 17.682  0.020
2661.60242 17.730  0.014
2661.65621 17.688  0.014
2661.85537 17.682  0.021
2662.61226 17.695  0.016
2662.64112 17.730  0.017
2662.77674 17.751  0.021
2663.65571 17.709  0.016
2664.61984 17.701  0.018
2664.70343 17.676  0.023
2665.68631 17.707  0.015
2665.82329 17.718  0.021
2666.64553 17.710  0.015
2666.68327 17.703  0.014
2666.76334 17.722  0.015
2667.68051 17.698  0.017
2667.84120 17.711  0.028
2668.66680 17.717  0.020
2668.75486 17.717  0.016
2670.63291 17.720  0.018
2671.69045 17.728  0.020
2672.66757 17.768  0.027
2672.74220 17.699  0.017
2674.64057 17.702  0.016
2674.67248 17.707  0.016
2674.79456 17.677  0.018
2675.65119 17.743  0.017
2675.75802 17.700  0.016
2676.62716 17.706  0.016
2676.65728 17.709  0.018
2676.73803 17.704  0.017
2677.65794 17.700  0.020
2677.71667 17.752  0.017
2678.63103 17.711  0.017
2678.71484 17.695  0.018
2678.76271 17.722  0.018
2679.65151 17.753  0.018
2679.78743 17.731  0.025
2680.62551 17.717  0.020
2680.77345 17.708  0.016
2681.61176 17.716  0.020
2681.72328 17.684  0.018
2682.58918 17.720  0.018
2683.62429 17.720  0.022
2687.54937 17.725  0.024
2696.54251 17.698  0.020
2701.52466 17.734  0.020
2707.52211 17.718  0.018
